Country,Continent
United States,America
China,Asia
Canada,America
Japan,Asia
United Kingdom,Europa
"Korea, Rep.",Asia
Mexico,America
Taiwan,Asia
Philippines,Asia
Turkey,Europa
Thailand,Asia
Malaysia,Asia
Indonesia,Asia
Germany,Europa
United Arab Emirates,Middle East
Singapore,Asia
France,Europa
Brazil,America
Russian Federation,Europa
Spain,Europa
Argentina,America
Peru,America
Kuwait,Middle East
Saudi Arabia,Middle East
Chile,America
Switzerland,Europa
India,Asia
Netherlands,Europa
Ireland,Europa
Poland,Europa
Greece,Europa
New Zealand,Oceania
Australia,Oceania
"Egypt, Arab Rep.",Africa
Puerto Rico,America
Lebanon,Middle East
Czech Republic,Europa
Austria,Europa
Bahrain,Middle East
Belgium,Europa
Qatar,Middle East
Denmark,Europa
Norway,Europa
Vietnam,Asia
Romania,Europa
Jordan,Middle East
Cyprus,Europa
Hungary,Europa
"Bahamas, The",Europa
Portugal,Europa
"Hong Kong SAR, China",Asia
Sweden,Europa
Oman,Middle East
Morocco,Africa
Bulgaria,Europa
El Salvador,America
Guatemala,America
Costa Rica,America
Aruba,America
Finland,Europa
Colombia,America
Netherland Antilles,Europa
Monaco,Europa